boro_cd,borough,district_n,district_name,population_2010,white_nonhisp_2010,black_nonhisp_2010,asian_pi_nonhisp_2010,other_nonhisp_2010,two_plus_nonhisp_2010,hispanic_2010,pct_white_nonhisp_2010,pct_black_nonhisp_2010,pct_asian_pi_nonhisp_2010,pct_hispanic_2010,pct_nonwhite_2010
401,Queens,1,Queens Community District 1,191105,86531,18738,26910,2459,3762,52705,0.452792967216975,0.09805080976426572,0.1408126422647236,0.27579079563590697,0.547207032783025
402,Queens,2,Queens Community District 2,113200,32470,2132,36275,746,2370,39207,0.28683745583038867,0.018833922261484098,0.3204505300353357,0.3463515901060071,0.7131625441696113
403,Queens,3,Queens Community District 3,171576,20334,10683,27026,1216,2209,110108,0.11851307875227304,0.06226395300041964,0.15751620273231687,0.6417447661677624,0.881486921247727
404,Queens,4,Queens Community District 4,172598,12343,9082,57287,1051,2534,90301,0.07151299551559115,0.05261938145285577,0.33190998736949445,0.5231868271938261,0.9284870044844089
405,Queens,5,Queens Community District 5,169190,92814,2335,13058,705,1628,58650,0.5485785211891956,0.01380105207163544,0.07717950233465334,0.34665169336249185,0.4514214788108044
406,Queens,6,Queens Community District 6,113257,62651,2823,29338,604,2405,15436,0.55317552115984,0.024925611661972328,0.2590391763864485,0.1362917965335476,0.44682447884015997
407,Queens,7,Queens Community District 7,247354,73668,5512,122094,862,4054,41164,0.29782417102614067,0.022283852292665572,0.4936002652069504,0.16641736135255544,0.7021758289738593
408,Queens,8,Queens Community District 8,151107,52871,19107,47130,1817,4561,25621,0.34989113674416145,0.12644682245031666,0.31189819134785285,0.16955534819697302,0.6501088632558385
409,Queens,9,Queens Community District 9,143317,28029,11996,31371,6697,6562,58662,0.19557344906745186,0.08370256145467739,0.21889238541136083,0.409316410474682,0.8044265509325481
410,Queens,10,Queens Community District 10,122396,31712,20990,22359,9806,9234,28295,0.2590934344259616,0.1714925324357005,0.18267753848164972,0.23117585542011176,0.7409065655740383
411,Queens,11,Queens Community District 11,116431,54690,2400,45777,330,1558,11676,0.46972026350370605,0.02061306696670131,0.3931684860561191,0.10028257079300186,0.5302797364962939
412,Queens,12,Queens Community District 12,225919,3813,147550,20323,7526,7581,39126,0.016877730514033792,0.6531101855089656,0.08995701999389162,0.17318596488121848,0.9831222694859663
413,Queens,13,Queens Community District 13,188593,24619,104035,27814,4104,5684,22337,0.13054037000312843,0.5516376535714476,0.14748161384568886,0.1184402390332621,0.8694596299968715
414,Queens,14,Queens Community District 14,114978,40459,44663,2618,1186,1950,24102,0.3518847083789942,0.38844822487780273,0.022769573309676633,0.20962271043156083,0.6481152916210058
501,Staten Island,1,Staten Island Community District 1,175756,69525,38620,13166,931,3459,50055,0.3955768224128906,0.2197364528095769,0.07491067161291791,0.2847982430187305,0.6044231775871094
502,Staten Island,2,Staten Island Community District 2,132003,93318,3951,15003,476,1827,17428,0.7069384786709393,0.02993113792868344,0.11365650780664076,0.1320273024097937,0.2930615213290607
503,Staten Island,3,Staten Island Community District 3,160209,136851,1667,6653,307,1330,13401,0.8542029473999588,0.010405158262020237,0.04152700534926253,0.08364698612437503,0.14579705260004117
