boro_cd,cdta_name,boro_name,time_period,poverty_count,poverty_rate
305,BK05 East New York-Cypress Hills (CD 5 Approximation),Brooklyn,2016-20,48910,26.26
305,BK05 East New York-Cypress Hills (CD 5 Approximation),Brooklyn,2017-21,49149,24.26
306,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,2016-20,12072,10.15
306,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,2017-21,12092,9.8
307,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),Brooklyn,2016-20,21654,16.9
307,BK07 Sunset Park-Windsor Terrace (CD 7 Approximation),Brooklyn,2017-21,21012,15.833333333333332
308,BK08 Crown Heights (North) (CD 8 Approximation),Brooklyn,2016-20,20896,15.65
308,BK08 Crown Heights (North) (CD 8 Approximation),Brooklyn,2017-21,19449,13.9
309,BK09 Crown Heights (South) (CD 9 Approximation),Brooklyn,2016-20,16062,16.85
309,BK09 Crown Heights (South) (CD 9 Approximation),Brooklyn,2017-21,16523,16.75
310,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),Brooklyn,2016-20,16917,15
310,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),Brooklyn,2017-21,17753,14.95
311,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),Brooklyn,2016-20,30030,15.833333333333332
311,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),Brooklyn,2017-21,33755,17.066666666666666
312,BK12 Borough Park-Kensington (CD 12 Approximation),Brooklyn,2016-20,50515,25.625
312,BK12 Borough Park-Kensington (CD 12 Approximation),Brooklyn,2017-21,50367,24.025
313,BK13 Coney Island-Brighton Beach (CD 13 Approximation),Brooklyn,2016-20,25195,23.5
313,BK13 Coney Island-Brighton Beach (CD 13 Approximation),Brooklyn,2017-21,26992,23.566666666666666
314,BK14 Flatbush-Midwood (CD 14 Approximation),Brooklyn,2016-20,24974,15.966666666666667
314,BK14 Flatbush-Midwood (CD 14 Approximation),Brooklyn,2017-21,24255,14.9
315,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),Brooklyn,2016-20,21494,13.933333333333334
315,BK15 Sheepshead Bay-Gravesend (East) (CD 15 Approximation),Brooklyn,2017-21,24248,15
316,BK16 Ocean Hill-Brownsville (CD 16 Approximation),Brooklyn,2016-20,27432,32.55
316,BK16 Ocean Hill-Brownsville (CD 16 Approximation),Brooklyn,2017-21,29051,32.25
317,BK17 East Flatbush (CD 17 Approximation),Brooklyn,2016-20,22195,14.625
317,BK17 East Flatbush (CD 17 Approximation),Brooklyn,2017-21,22246,14.075
318,BK18 Canarsie-Flatlands (CD 18 Approximation),Brooklyn,2016-20,18874,8.799999999999999
318,BK18 Canarsie-Flatlands (CD 18 Approximation),Brooklyn,2017-21,21528,9.633333333333333
401,QN01 Astoria-Queensbridge (CD 1 Equivalent),Queens,2016-20,20572,14.14
401,QN01 Astoria-Queensbridge (CD 1 Equivalent),Queens,2017-21,20112,13.18
402,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),Queens,2016-20,9332,7.5
402,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),Queens,2017-21,10090,7.866666666666667
403,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),Queens,2016-20,21188,14.3
403,QN03 Jackson Heights-East Elmhurst (CD 3 Approximation),Queens,2017-21,22036,14.033333333333333
404,QN04 Elmhurst-Corona (CD 4 Approximation),Queens,2016-20,24620,15.55
404,QN04 Elmhurst-Corona (CD 4 Approximation),Queens,2017-21,24366,14.649999999999999
